"Element","Epics Channel Access Name"
"CAVC028","ACCL:L1B:H280"
"CMBH2","BPMS:L1B:H283"
"XC1C00","XCOR:BC1B:100"
"YC1C00","YCOR:BC1B:100"
"BPM1C01","BPMS:BC1B:125"
"Q1C01","QUAD:BC1B:125"
"RFB1C01","BPMS:BC1B:126"
"BCX11","BEND:BC1B:200"
"CQ11B","QUAD:BC1B:250"
"YCM12B","YCOR:BC1B:277"
"BCX12","BEND:BC1B:400"
"BPM11B","BPMS:BC1B:440"
"CE11B","COLL:BC1B:450"
"OTR11B","PROF:BC1B:470"
"WS11B","WIRE:BC1B:520"
"BCX13","BEND:BC1B:600"
"SQ13B","QUAD:BC1B:625"
"XCM12B","XCOR:BC1B:722"
"CQ12B","QUAD:BC1B:750"
"BCX14","BEND:BC1B:800"
"BZ11B","BLEN:BC1B:850"
"BZC1","BLEN:BC1B:851"
"BPMC101","BPMS:COL1:120"
"QC101","QUAD:COL1:120"
"IM11B","IMON:COL1:125"
"XCC101","XCOR:COL1:128"
"YCC101","YCOR:COL1:129"
"BPMC102","BPMS:COL1:260"
"QC102","QUAD:COL1:260"
"BPMC103","BPMS:COL1:280"
"QC103","QUAD:COL1:280"
"BPMC104","BPMS:COL1:320"
"QC104","QUAD:COL1:320"
"XCC104","XCOR:COL1:328"
"RFBC104","BPMS:COL1:355"
"WSC104","WIRE:COL1:360"
"CYC11","COLL:COL1:390"
"BPMC105","BPMS:COL1:400"
"QC105","QUAD:COL1:400"
"YCC105","YCOR:COL1:409"
"CXC11","COLL:COL1:470"
"BPMC106","BPMS:COL1:480"
"QC106","QUAD:COL1:480"
"XCC106","XCOR:COL1:488"
"RFBC106","BPMS:COL1:515"
"WSC106","WIRE:COL1:520"
"CYC12","COLL:COL1:550"
"BPMC107","BPMS:COL1:560"
"QC107","QUAD:COL1:560"
"YCC107","YCOR:COL1:569"
"CXC12","COLL:COL1:630"
"BPMC108","BPMS:COL1:640"
"QC108","QUAD:COL1:640"
"XCC108","XCOR:COL1:648"
"RFBC108","BPMS:COL1:675"
"WSC108","WIRE:COL1:680"
"CYC13","COLL:COL1:710"
"BPMC109","BPMS:COL1:720"
"QC109","QUAD:COL1:720"
"YCC109","YCOR:COL1:729"
"CXC13","COLL:COL1:790"
"BPMC110","BPMS:COL1:800"
"QC110","QUAD:COL1:800"
"XCC110","XCOR:COL1:808"
"RFBC110","BPMS:COL1:835"
"WSC110","WIRE:COL1:840"
"BPMC111","BPMS:COL1:880"
"QC111","QUAD:COL1:880"
"YCC111","YCOR:COL1:889"
"BPMC112","BPMS:COL1:960"
"QC112","QUAD:COL1:960"
"XCC112","XCOR:COL1:968"
"CAVL041","ACCL:L2B:0410"
"CAVL042","ACCL:L2B:0420"
"CAVL043","ACCL:L2B:0430"
"CAVL044","ACCL:L2B:0440"
"CAVL045","ACCL:L2B:0450"
"CAVL046","ACCL:L2B:0460"
"CAVL047","ACCL:L2B:0470"
"CAVL048","ACCL:L2B:0480"
"CMB04","BPMS:L2B:0483"
"QCM04","QUAD:L2B:0485"
"XCM04","XCOR:L2B:0485"
"YCM04","YCOR:L2B:0485"
"CAVL051","ACCL:L2B:0510"
"CAVL052","ACCL:L2B:0520"
"CAVL053","ACCL:L2B:0530"
"CAVL054","ACCL:L2B:0540"
"CAVL055","ACCL:L2B:0550"
"CAVL056","ACCL:L2B:0560"
"CAVL057","ACCL:L2B:0570"
"CAVL058","ACCL:L2B:0580"
"CMB05","BPMS:L2B:0583"
"QCM05","QUAD:L2B:0585"
"XCM05","XCOR:L2B:0585"
"YCM05","YCOR:L2B:0585"
"CAVL061","ACCL:L2B:0610"
"CAVL062","ACCL:L2B:0620"
"CAVL063","ACCL:L2B:0630"
"CAVL064","ACCL:L2B:0640"
"CAVL065","ACCL:L2B:0650"
"CAVL066","ACCL:L2B:0660"
"CAVL067","ACCL:L2B:0670"
"CAVL068","ACCL:L2B:0680"
"CMB06","BPMS:L2B:0683"
"QCM06","QUAD:L2B:0685"
"XCM06","XCOR:L2B:0685"
"YCM06","YCOR:L2B:0685"
"CAVL071","ACCL:L2B:0710"
"CAVL072","ACCL:L2B:0720"
"CAVL073","ACCL:L2B:0730"
"CAVL074","ACCL:L2B:0740"
"CAVL075","ACCL:L2B:0750"
"CAVL076","ACCL:L2B:0760"
"CAVL077","ACCL:L2B:0770"
"CAVL078","ACCL:L2B:0780"
"CMB07","BPMS:L2B:0783"
"QCM07","QUAD:L2B:0785"
"XCM07","XCOR:L2B:0785"
"YCM07","YCOR:L2B:0785"
