BPMS:LI21:161 BPMA12 MONI 26.333964 2041.035880  DL1B LSRHTR  CU_HXR LCLS L1
XCOR:LI21:165 XCA12 HKIC 26.790749 2041.492665  DL1B LSRHTR  CU_HXR LCLS L1
YCOR:LI21:166 YCA12 VKIC 26.790749 2041.492665  DL1B LSRHTR  CU_HXR LCLS L1
YCOR:LI21:203 YC21203 VKIC 28.797987 2043.499903  DL1B LSRHTR  CU_HXR LCLS L1
XCOR:LI21:202 XC21202 HKIC 29.085559 2043.787475  DL1B LSRHTR  CU_HXR LCLS L1
XCOR:LI21:191 XCM11 HKIC 30.056283 2044.758199  BC1I LSRHTR  CU_HXR LCLS BC1
YCOR:LI21:192 YCM11 VKIC 30.056283 2044.758199  BC1I LSRHTR  CU_HXR LCLS BC1
QUAD:LI21:201 Q21201 QUAD 30.732093 2045.434009  BC1I LSRHTR  CU_HXR LCLS BC1
BPMS:LI21:201 BPM21201 MONI 30.732093 2045.434009  BC1I LSRHTR  CU_HXR LCLS BC1
TORO:LI21:205 IMBC1I IMON 30.871500 2045.573416  BC1I LSRHTR  CU_HXR LCLS BC1
QUAD:LI21:211 QM11 QUAD 31.204383 2045.906299  BC1I LSRHTR  CU_HXR LCLS BC1
QUAD:LI21:221 CQ11 QUAD 31.889344 2046.589878  BC1C LSRHTR  CU_HXR LCLS BC1
BPMS:LI21:233 BPMS11 MONI 34.485826 2049.178040  BC1C DIAG1  CU_HXR LCLS BC1
COLL:LI21:235 CE11 RCOL 34.650286 2049.342500  BC1C DIAG1  CU_HXR LCLS BC1
OTRS:LI21:237 OTR11 PROF 34.832892 2049.525106  BC1C DIAG1  CU_HXR LCLS BC1
QUAD:LI21:243 SQ13 QUAD 35.613128 2050.303800  BC1C DIAG1  CU_HXR LCLS BC1
QUAD:LI21:251 CQ12 QUAD 37.415227 2052.099122  BC1C DIAG1  CU_HXR LCLS BC1
BLEN:LI21:265 BL11 BLMO 38.080112 2052.762625  BC1E DIAG1  CU_HXR LCLS BC1
QUAD:LI21:271 QM12 QUAD 38.295837 2052.978350  BC1E DIAG1  CU_HXR LCLS BC1
TORO:LI21:277 IMBC1O IMON 38.730826 2053.413339  BC1E DIAG1  CU_HXR LCLS BC1
QUAD:LI21:278 QM13 QUAD 38.966615 2053.649127  BC1E DIAG1  CU_HXR LCLS BC1
BPMS:LI21:278 BPMM12 MONI 38.966615 2053.649127  BC1E DIAG1  CU_HXR LCLS BC1
BLEN:LI21:280 BL12 BLMO 39.121087 2053.803599  BC1E DIAG1  CU_HXR LCLS BC1
XCOR:LI21:275 XCM13 HKIC 39.322161 2054.004673  BC1E DIAG1  CU_HXR LCLS BC1
YCOR:LI21:276 YCM12 VKIC 39.322161 2054.004673  BC1E DIAG1  CU_HXR LCLS BC1
WIRE:LI21:285 WS11 WIRE 39.557161 2054.239673  BC1E DIAG1  CU_HXR LCLS BC1
WIRE:LI21:293 WS12 WIRE 41.213357 2055.895869  BC1E DIAG1  CU_HXR LCLS BC1
OTRS:LI21:291 OTR12 PROF 41.508357 2056.190869  BC1E DIAG1  CU_HXR LCLS BC1
PCAV:LI21:300 PH02 INST 41.923687 2056.606199  BC1E DIAG1  CU_HXR LCLS BC1
XCOR:LI21:302 XC21302 HKIC 42.226088 2056.908600  BC1E DIAG1  CU_HXR LCLS BC1
YCOR:LI21:303 YC21303 VKIC 42.572187 2057.254699  BC1E DIAG1  CU_HXR LCLS BC1
WIRE:LI21:301 WS13 WIRE 42.869553 2057.552065  BC1E DIAG1  CU_HXR LCLS BC1
QUAD:LI21:301 Q21301 QUAD 43.178683 2057.861195  BC1E DIAG1  CU_HXR LCLS BC1
BPMS:LI21:301 BPM21301 MONI 43.178683 2057.861195  BC1E DIAG1  CU_HXR LCLS BC1
DUMP:LI21:305 TD11 INST 43.893070 2058.575582  BC1E DIAG1  CU_HXR LCLS BC1
QUAD:LI21:315 QM14 QUAD 44.334657 2059.017169  BC1E DIAG1  CU_HXR LCLS BC1
BPMS:LI21:315 BPMM14 MONI 44.334657 2059.017169  BC1E DIAG1  CU_HXR LCLS BC1
XCOR:LI21:325 XCM14 HKIC 44.614787 2059.297299  BC1E DIAG1  CU_HXR LCLS BC1
YCOR:LI21:325 YCM15 VKIC 44.614787 2059.297299  BC1E DIAG1  CU_HXR LCLS BC1
QUAD:LI21:335 QM15 QUAD 44.899467 2059.581979  BC1E DIAG1  CU_HXR LCLS BC1
KLYS:LI21:31 K21_3C LCAV 51.138588 2065.821100  LI21 K21_3  CU_HXR LCLS L2
KLYS:LI21:31 K21_3D LCAV 54.182688 2068.865200  LI21 K21_3  CU_HXR LCLS L2
QUAD:LI21:401 Q21401 QUAD 54.270288 2068.952800  LI21 K21_3  CU_HXR LCLS L2
BPMS:LI21:401 BPM21401 MONI 54.270288 2068.952800  LI21 K21_3  CU_HXR LCLS L2
XCOR:LI21:402 XC21402 HKIC 54.677488 2069.360000  LI21 K21_4  CU_HXR LCLS L2
YCOR:LI21:403 YC21403 VKIC 55.048188 2069.730700  LI21 K21_4  CU_HXR LCLS L2
